epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.324,1.4471,2.18498,1.11438,0.1934,0.42105,0.20926,0.11023,1.46244,5.6237,1.11105,0.00038341,0.00038341,0.00038341
2,572.146,1.41307,1.04584,1.13865,0.76234,0.59211,0.7211,0.44716,1.31644,1.25218,1.17714,0.000767977,0.000767977,0.000767977
3,936.389,1.38094,0.95705,1.13388,0.92065,0.60526,0.7195,0.41579,1.25686,0.89719,1.14883,0.0011367,0.0011367,0.0011367
4,1296.8,1.30159,0.85058,1.13,0.63219,0.4892,0.56484,0.2866,1.49056,2.40173,1.27986,0.00148958,0.00148958,0.00148958
5,1609.06,1.34875,0.86317,1.13299,0.52443,0.42982,0.2832,0.09695,1.64964,3.40165,1.35671,0.00153497,0.00153497,0.00153497
6,1910.96,1.31513,0.82625,1.12262,0.91756,0.35965,0.65036,0.33923,1.94291,3.47704,1.39681,0.00150197,0.00150197,0.00150197
7,2255.25,1.288,0.71434,1.12026,0.7465,0.4025,0.45305,0.28427,1.56306,1.95225,1.35499,0.00146896,0.00146896,0.00146896
8,2560.65,1.32404,0.73574,1.10079,0.9109,0.74475,0.88133,0.5501,1.34944,0.80667,1.19129,0.00143595,0.00143595,0.00143595
9,2850.69,1.28482,0.71919,1.08029,0.93998,0.73494,0.84313,0.51077,1.3987,1.1838,1.14605,0.00140295,0.00140295,0.00140295
10,3140.67,1.26542,0.68908,1.10019,0.95343,0.80018,0.9335,0.50261,1.48329,0.9511,1.24773,0.00136994,0.00136994,0.00136994
11,3436.04,1.24203,0.67718,1.0645,0.9668,0.85392,0.93425,0.56314,1.34554,0.99109,1.13642,0.00133693,0.00133693,0.00133693
12,3739.3,1.21261,0.66572,1.09301,0.70797,0.96491,0.8927,0.53186,1.18814,0.69747,1.0854,0.00130393,0.00130393,0.00130393
13,4034.32,1.21395,0.66683,1.08147,0.99449,0.95382,0.97108,0.55981,1.09218,0.61841,1.04387,0.00127092,0.00127092,0.00127092
14,4330.57,1.17269,0.62142,1.03392,0.96685,0.96703,0.98078,0.60992,1.21958,0.63872,1.08356,0.00123791,0.00123791,0.00123791
15,4613.22,1.13196,0.58695,1.03862,0.98552,0.96101,0.99066,0.64642,1.21405,0.59819,1.07868,0.00120491,0.00120491,0.00120491
16,4897.3,1.17252,0.60099,1.03612,0.98676,0.8876,0.97126,0.63437,1.1729,0.54389,1.07359,0.0011719,0.0011719,0.0011719
17,5192.82,1.09928,0.59642,1.0355,0.97508,0.89035,0.97167,0.60142,1.45845,0.65351,1.25262,0.00113889,0.00113889,0.00113889
18,5470.33,1.0935,0.56271,1.01088,0.98547,0.96655,0.98133,0.65911,1.25639,0.61749,1.14734,0.00110589,0.00110589,0.00110589
19,5746.17,1.09979,0.54895,1.00195,0.99332,0.96702,0.9831,0.63506,1.04549,0.54356,1.04219,0.00107288,0.00107288,0.00107288
20,6014.4,1.07791,0.55114,1.01755,0.99117,0.96491,0.98166,0.6331,1.01047,0.52612,1.02368,0.00103987,0.00103987,0.00103987
21,6289.75,1.06319,0.53732,1.00668,0.99332,0.97918,0.98977,0.57404,1.11397,0.5169,1.05485,0.00100687,0.00100687,0.00100687
22,6565.69,1.07179,0.54076,1.0022,0.97675,0.97577,0.98944,0.60719,1.21317,0.53257,1.09382,0.000973861,0.000973861,0.000973861
23,6844.67,1.07861,0.55201,1.01319,0.98734,0.88158,0.97683,0.64166,1.12305,0.48493,1.07931,0.000940855,0.000940855,0.000940855
24,7129.14,1.01123,0.52124,0.98132,0.97923,0.89111,0.95021,0.57765,1.01565,0.50259,1.02036,0.000907848,0.000907848,0.000907848
25,7417.22,1.03731,0.52983,0.99551,0.98652,0.96829,0.98837,0.61814,1.11616,0.50561,1.06697,0.000874842,0.000874842,0.000874842
26,7705.37,1.04079,0.52288,0.97699,0.96799,0.96491,0.98148,0.67045,1.11999,0.51221,1.05024,0.000841835,0.000841835,0.000841835
