epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1809,1.42231,4.06846,1.22326,0.00312,0.40691,0.07704,0.0582,1.11561,3.99414,0.98216,0.000125,0.000125,0.000125
2,120.342,1.23316,2.69274,1.04894,0.00553,0.6011,0.20499,0.12381,0.95098,3.64322,0.89362,0.000258169,0.000258169,0.000258169
3,195.477,1.16869,1.84488,0.97208,0.87164,0.12203,0.26775,0.1989,0.97602,3.41716,0.88512,0.0003868,0.0003868,0.0003868
4,296.187,1.12653,1.54662,1.00351,0.01059,0.6708,0.23386,0.15487,1.09125,3.49344,0.95832,0.000510894,0.000510894,0.000510894
5,385.929,1.07879,1.44912,0.97553,0.46736,0.45086,0.35345,0.20842,1.10894,3.348,0.96434,0.00063045,0.00063045,0.00063045
6,511.852,1.10034,1.36461,0.96998,0.6953,0.15042,0.4031,0.3018,1.06789,3.0433,0.96797,0.000745469,0.000745469,0.000745469
7,631.269,1.0662,1.33441,0.96608,0.78443,0.25665,0.57098,0.42314,1.05374,2.76737,0.93775,0.00085595,0.00085595,0.00085595
8,758.671,1.08149,1.25552,0.99148,0.58311,0.35184,0.54423,0.38676,1.08482,2.60821,0.96521,0.000961894,0.000961894,0.000961894
9,857.562,1.07056,1.18949,0.96831,0.59156,0.44392,0.5631,0.40319,1.08516,2.313,0.98743,0.0010633,0.0010633,0.0010633
10,956.362,1.08498,1.23473,0.97971,0.8174,0.62686,0.79551,0.54808,1.05224,2.06218,0.94108,0.00106437,0.00106437,0.00106437
11,1062.27,1.00571,1.12203,0.94328,0.63898,0.75456,0.76805,0.51654,1.01945,1.75589,0.92551,0.00104375,0.00104375,0.00104375
12,1168.72,1.01003,1.07812,0.97027,0.69875,0.84156,0.88526,0.64953,0.97921,1.27816,0.89482,0.00102312,0.00102312,0.00102312
13,1274.97,1.0547,1.11286,0.95636,0.86788,0.84926,0.90114,0.64999,0.94943,1.12487,0.89442,0.0010025,0.0010025,0.0010025
14,1366.78,0.98867,1.05685,0.94901,0.88905,0.84651,0.94143,0.68964,0.88866,1.06981,0.87731,0.000981875,0.000981875,0.000981875
15,1454,0.93462,0.97379,0.92275,0.87668,0.89213,0.93681,0.70211,0.90842,0.93263,0.88377,0.00096125,0.00096125,0.00096125
16,1543.46,0.93217,0.97483,0.91955,0.86582,0.87946,0.93689,0.72247,0.828,0.98953,0.86442,0.000940625,0.000940625,0.000940625
17,1641.87,0.96424,0.98293,0.93087,0.94499,0.88469,0.95298,0.71197,0.88205,0.92548,0.87435,0.00092,0.00092,0.00092
18,1742.06,0.92152,0.90058,0.91476,0.82593,0.82617,0.87634,0.66602,0.82455,0.99953,0.85984,0.000899375,0.000899375,0.000899375
19,1837.89,0.93952,0.98892,0.93742,0.89669,0.90684,0.96698,0.74413,0.79979,0.87825,0.85486,0.00087875,0.00087875,0.00087875
20,1935.66,0.90438,0.92398,0.92268,0.95091,0.94138,0.97671,0.75478,0.80553,0.82467,0.8696,0.000858125,0.000858125,0.000858125
21,2030.65,0.89189,0.91627,0.92299,0.93032,0.94106,0.97805,0.74267,0.81319,0.81615,0.87112,0.0008375,0.0008375,0.0008375
22,2123.73,0.91256,0.92866,0.93179,0.90959,0.93531,0.97361,0.71476,0.83023,0.85435,0.87017,0.000816875,0.000816875,0.000816875
23,2212.23,0.85897,0.86192,0.90973,0.92483,0.93332,0.96827,0.72324,0.84379,0.81397,0.88329,0.00079625,0.00079625,0.00079625
24,2300.96,0.8982,0.87623,0.9243,0.95347,0.87901,0.95783,0.72871,0.85675,0.80222,0.89173,0.000775625,0.000775625,0.000775625
25,2383.11,0.88116,0.84186,0.91339,0.95526,0.86483,0.95499,0.7222,0.86478,0.80747,0.88887,0.000755,0.000755,0.000755
26,2469.47,0.85293,0.82202,0.89502,0.97179,0.91086,0.97294,0.73638,0.82384,0.79003,0.87207,0.000734375,0.000734375,0.000734375
27,2552.86,0.85383,0.79854,0.90879,0.96332,0.90218,0.96895,0.73627,0.83334,0.75952,0.87267,0.00071375,0.00071375,0.00071375
28,2633.46,0.8703,0.80742,0.90276,0.95482,0.90194,0.96984,0.74041,0.81772,0.74614,0.87641,0.000693125,0.000693125,0.000693125
29,2715.26,0.84647,0.79395,0.9072,0.94258,0.90844,0.97289,0.76016,0.80049,0.73392,0.87035,0.0006725,0.0006725,0.0006725
